Map,Player,ACS,Agent,Date,Result
Pearl,slowly,127,Astra,2026/3/10,Loss
Pearl,Scales,264,Killjoy,2026/3/10,Loss
Pearl,sword9,158,Sova,2026/3/10,Loss
Pearl,Erv,220,Yoru,2026/3/10,Loss
Breeze,splash,280,Jett,2026/3/10,Win
Breeze,slowly,276,Astra,2026/3/10,Win
Breeze,Scales,164,Viper,2026/3/10,Win
Breeze,sword9,131,Sova,2026/3/10,Win
Breeze,Erv,204,Yoru,2026/3/10,Win
Split,splash,171,Neon,2026/3/10,Win
Split,slowly,259,Omen,2026/3/10,Win
Split,Scales,127,Killjoy,2026/3/10,Win
Split,sword9,241,Sova,2026/3/10,Win
Split,Erv,233,Yoru,2026/3/10,Win
Haven,splash,254,Neon,2026/3/10,Win
Haven,slowly,250,Killjoy,2026/3/10,Win
Haven,Scales,175,Viper,2026/3/10,Win
Haven,sword9,202,Sova,2026/3/10,Win
Haven,Erv,226,Omen,2026/3/10,Win
Bind,splash,274,Raze,2026/3/10,Win
Bind,slowly,233,Brimstone,2026/3/10,Win
Bind,Scales,224,Viper,2026/3/10,Win
Bind,sword9,213,Fade,2026/3/10,Win
Bind,Erv,242,Yoru,2026/3/10,Win
Split,splash,,Neon,2026/3/11,Win
Split,slowly,,Omen,2026/3/11,Win
Split,Scales,,Killjoy,2026/3/11,Win
Split,sword9,,Sova,2026/3/11,Win
Split,Erv,,Yoru,2026/3/11,Win
Fracture,splash,236,Neon,2026/3/11,Win
Fracture,slowly,231,Brimstone,2026/3/11,Win
Fracture,Scales,153,Cypher,2026/3/11,Win
Fracture,sword9,161,tejo,2026/3/11,Win
Fracture,Erv,279,Yoru,2026/3/11,Win
Bind,splash,275,Raze,2026/3/11,Win
Bind,slowly,239,Brimstone,2026/3/11,Win
Bind,Scales,209,Viper,2026/3/11,Win
Bind,sword9,229,Fade,2026/3/11,Win
Bind,Erv,228,Yoru,2026/3/11,Win
Pearl,splash,212,Neon,2026/3/11,Win
Pearl,slowly,226,Astra,2026/3/11,Win
Pearl,Scales,203,Killjoy,2026/3/11,Win
Pearl,sword9,160,Sova,2026/3/11,Win
Pearl,Erv,239,Yoru,2026/3/11,Win
Pearl,splash,265,Neon,2026/3/12,Win
Pearl,slowly,250,Astra,2026/3/12,Win
Pearl,Scales,188,Killjoy,2026/3/12,Win
Pearl,sword9,140,Sova,2026/3/12,Win
Pearl,Erv,142,Yoru,2026/3/12,Win
Split,splash,178,Neon,2026/3/12,Loss
Split,slowly,169,Omen,2026/3/12,Loss
Split,Scales,82,Killjoy,2026/3/12,Loss
Split,sword9,165,Sova,2026/3/12,Loss
Split,Erv,255,Yoru,2026/3/12,Loss
Breeze,splash,210,Jett,2026/3/12,Loss
Breeze,slowly,159,Astra,2026/3/12,Loss
Breeze,Scales,147,Viper,2026/3/12,Loss
Breeze,sword9,222,Sova,2026/3/12,Loss
Breeze,Erv,203,Yoru,2026/3/12,Loss
Haven,splash,318,Neon,2026/3/12,Win
Haven,slowly,233,Killjoy,2026/3/12,Win
Haven,Scales,206,Viper,2026/3/12,Win
Haven,sword9,156,Sova,2026/3/12,Win
Haven,Erv,229,Omen,2026/3/12,Win
Pearl,splash,127,Neon,2026/3/12,Loss
Pearl,slowly,212,Astra,2026/3/12,Loss
Pearl,Scales,191,Killjoy,2026/3/12,Loss
Pearl,sword9,219,Sova,2026/3/12,Loss
Pearl,Erv,252,Yoru,2026/3/12,Loss
Fracture,splash,197,Neon,2026/3/13,Loss
Fracture,slowly,170,Brimstone,2026/3/13,Loss
Fracture,Scales,192,Cypher,2026/3/13,Loss
Fracture,sword9,173,tejo,2026/3/13,Loss
Fracture,Erv,220,Yoru,2026/3/13,Loss
Bind,splash,178,Raze,2026/3/13,Loss
Bind,slowly,208,Brimstone,2026/3/13,Loss
Bind,Scales,198,Viper,2026/3/13,Loss
Bind,sword9,190,Fade,2026/3/13,Loss
Bind,Erv,146,Yoru,2026/3/13,Loss
Pearl,splash,144,Neon,2026/3/13,Win
Pearl,slowly,316,Astra,2026/3/13,Win
Pearl,Scales,259,Killjoy,2026/3/13,Win
Pearl,sword9,183,Sova,2026/3/13,Win
Pearl,Erv,300,Yoru,2026/3/13,Win
Fracture,splash,270,Neon,2026/3/14,Win
Fracture,slowly,284,Brimstone,2026/3/14,Win
Fracture,Scales,315,Cypher,2026/3/14,Win
Fracture,sword9,137,tejo,2026/3/14,Win
Fracture,Erv,182,Yoru,2026/3/14,Win
Pearl,splash,200,Neon,2026/3/14,Loss
Pearl,slowly,212,Astra,2026/3/14,Loss
Pearl,Scales,237,Killjoy,2026/3/14,Loss
Pearl,sword9,162,Sova,2026/3/14,Loss
Pearl,Erv,129,Yoru,2026/3/14,Loss
Haven,splash,194,Neon,2026/3/16,Win
Haven,slowly,253,Killjoy,2026/3/16,Win
Haven,Scales,203,Viper,2026/3/16,Win
Haven,sword9,229,Sova,2026/3/16,Win
Haven,Erv,246,Omen,2026/3/16,Win
Breeze,splash,358,Jett,2026/3/16,Win
Breeze,slowly,284,Yoru,2026/3/16,Win
Breeze,Scales,152,Viper,2026/3/16,Win
Breeze,sword9,153,Sova,2026/3/16,Win
Breeze,Erv,127,Astra,2026/3/16,Win
Pearl,splash,147,Neon,2026/3/17,Loss
Pearl,slowly,198,Yoru,2026/3/17,Loss
Pearl,Scales,203,Killjoy,2026/3/17,Loss
Pearl,sword9,120,Sova,2026/3/17,Loss
Pearl,Erv,194,Astra,2026/3/17,Loss
Split,splash,255,Raze,2026/3/17,Loss
Split,slowly,182,Yoru,2026/3/17,Loss
Split,Scales,212,Killjoy,2026/3/17,Loss
Split,sword9,142,Sova,2026/3/17,Loss
Split,Erv,214,Omen,2026/3/17,Loss
Breeze,splash,224,Jett,2026/3/17,Win
Breeze,slowly,358,Yoru,2026/3/17,Win
Breeze,Scales,238,Viper,2026/3/17,Win
Breeze,sword9,150,Sova,2026/3/17,Win
Breeze,Erv,140,Astra,2026/3/17,Win
